#tail	head	KSP index	path cost
P00533	P10644	1	5.62500e-01
P10644	P10276	1	5.62500e-01
P00533	O43707	2	5.62500e-01
O43707	P10276	2	5.62500e-01
P00533	P01100	3	5.62500e-01
P01100	P10276	3	5.62500e-01
P00533	P03372	4	5.62500e-01
P03372	P10276	4	5.62500e-01
P00533	P17612	5	5.62500e-01
P17612	P10276	5	5.62500e-01
P00533	P29590	6	5.62500e-01
P29590	P10276	6	5.62500e-01
P00533	P42224	7	5.62500e-01
P42224	P10276	7	5.62500e-01
P00533	P42229	8	5.62500e-01
P42229	P10276	8	5.62500e-01
P00533	P45983	9	5.62500e-01
P45983	P10276	9	5.62500e-01
P00533	P45984	10	5.62500e-01
P45984	P10276	10	5.62500e-01
P00533	O14964	11	4.21875e-01
O14964	O43707	11	4.21875e-01
O14964	P63165	12	4.21875e-01
P63165	P10276	12	4.21875e-01
O14964	Q9UMX0	13	4.21875e-01
Q9UMX0	P10276	13	4.21875e-01
P00533	O14965	14	4.21875e-01
O14965	P03372	14	4.21875e-01
O14965	P12755	15	4.21875e-01
P12755	P10276	15	4.21875e-01
O14965	Q00987	16	4.21875e-01
Q00987	P10276	16	4.21875e-01
O14965	Q13573	17	4.21875e-01
Q13573	P10276	17	4.21875e-01
O14965	Q9BV79	18	4.21875e-01
Q9BV79	P10276	18	4.21875e-01
O43707	P03372	19	4.21875e-01
O43707	P42224	20	4.21875e-01
P00533	O60674	21	4.21875e-01
O60674	P03372	21	4.21875e-01
O60674	P12931	22	4.21875e-01
P12931	P10276	22	4.21875e-01
O60674	P42224	23	4.21875e-01
O60674	P42229	24	4.21875e-01
O60674	Q15910	25	4.21875e-01
Q15910	P10276	25	4.21875e-01
P00533	O94992	26	4.21875e-01
O94992	P03372	26	4.21875e-01
P01100	P03372	27	4.21875e-01
P01100	P29590	28	4.21875e-01
P01100	P42224	29	4.21875e-01
P01100	Q09472	30	4.21875e-01
Q09472	P10276	30	4.21875e-01
P01100	Q15596	31	4.21875e-01
Q15596	P10276	31	4.21875e-01
P01100	Q15788	32	4.21875e-01
Q15788	P10276	32	4.21875e-01
P01100	Q96EB6	33	4.21875e-01
Q96EB6	P10276	33	4.21875e-01
P01100	Q9Y618	34	4.21875e-01
Q9Y618	P10276	34	4.21875e-01
P01100	Q9Y6Q9	35	4.21875e-01
Q9Y6Q9	P10276	35	4.21875e-01
P03372	O15164	36	4.21875e-01
O15164	P10276	36	4.21875e-01
P03372	O15379	37	4.21875e-01
O15379	P10276	37	4.21875e-01
P03372	O43707	38	4.21875e-01
P03372	O75376	39	4.21875e-01
O75376	P10276	39	4.21875e-01
P03372	O75528	40	4.21875e-01
O75528	P10276	40	4.21875e-01
P03372	O95257	41	4.21875e-01
O95257	P10276	41	4.21875e-01
P03372	P01100	42	4.21875e-01
P03372	P08047	43	4.21875e-01
P08047	P10276	43	4.21875e-01
P03372	P09874	44	4.21875e-01
P09874	P10276	44	4.21875e-01
P03372	P12931	45	4.21875e-01
P03372	P23771	46	4.21875e-01
P23771	P10276	46	4.21875e-01
P03372	P29375	47	4.21875e-01
P29375	P10276	47	4.21875e-01
P03372	P42229	48	4.21875e-01
P03372	P48552	49	4.21875e-01
P48552	P10276	49	4.21875e-01
P03372	P56524	50	4.21875e-01
P56524	P10276	50	4.21875e-01
P03372	Q00987	51	4.21875e-01
P03372	Q02880	52	4.21875e-01
Q02880	P10276	52	4.21875e-01
P03372	Q05516	53	4.21875e-01
Q05516	P10276	53	4.21875e-01
P03372	Q09472	54	4.21875e-01
P03372	Q13887	55	4.21875e-01
Q13887	P10276	55	4.21875e-01
P03372	Q14686	56	4.21875e-01
Q14686	P10276	56	4.21875e-01
P03372	Q15466	57	4.21875e-01
Q15466	P10276	57	4.21875e-01
P03372	Q15596	58	4.21875e-01
P03372	Q15648	59	4.21875e-01
Q15648	P10276	59	4.21875e-01
P03372	Q15788	60	4.21875e-01
P03372	Q15910	61	4.21875e-01
P03372	Q92754	62	4.21875e-01
Q92754	P10276	62	4.21875e-01
P03372	Q92769	63	4.21875e-01
Q92769	P10276	63	4.21875e-01
P03372	Q99933	64	4.21875e-01
Q99933	P10276	64	4.21875e-01
P03372	Q9NPJ4	65	4.21875e-01
Q9NPJ4	P10276	65	4.21875e-01
P03372	Q9Y618	66	4.21875e-01
P03372	Q9Y6Q9	67	4.21875e-01
P00533	P04150	68	4.21875e-01
P04150	O75376	68	4.21875e-01
